 Casa;Basement;Sótano / Soterrani
Casa;Attic;Desván / Golfes
Casa;Pantry;Despensa / Despensa
Casa;Driveway;Entrada coche / Entrada cotxes
Casa;Hallway;Pasillo / Passadís
Casa;Landing;Rellano / Replà
Casa;Backyard;Patio trasero / Pati darrere
Casa;Porch;Porche / Porxo
Casa;Utility room;Lavadero / Safareig
Casa;Roof;Tejado / Teulada
Naturalesa;Pine;Pino / Pi
Naturalesa;Oak;Roble / Roure
Naturalesa;Olive tree;Olivo / Olivera
Naturalesa;Palm tree;Palmera / Palmera
Naturalesa;Cypress;Ciprés / Xiprer
Naturalesa;Fig tree;Higuera / Figuera
Naturalesa;Almond tree;Almendro / Ametller
Naturalesa;Lemon tree;Limonero / Llimoner
Naturalesa;Orange tree;Naranjo / Taronger
Naturalesa;Poplar;Álamo / Pollancre
Animals;Dog Puppy;Perro / Cachorro / Gos / Gosset
Animals;Cat Kitten;Gato / Gatito / Gat / Gatet
Animals;Cow Calf;Vaca / Ternero / Vaca / Vedell
Animals;Horse Foal;Haballo / Potro / Cavall / Poltre
Animals;Hen Chick;Gallina / Pollito / Gallina / Pollet
Animals;Sheep Lamb;Oveja / Cordero / Ovelha / Xai
Animals;Pig Piglet;Cerdo / Lechón / Porc / Porquet
Animals;Lion Cub;León / Cachorro / Lleó / Cadell
Animals;Goat Kid;Cabra / Cabrito / Cabra / Cabrit
Animals;Duck  Duckling;Pato / Patito / Ànec / Ànec petit
Fruites;Blueberry;Arándano / Nabiu
Fruites;Raspberry;Frambuesa / Gerd
Fruites;Blackberry;Mora / Mora
Fruites;Strawberry;Fresa / Maduixa
Fruites;Currant;Grosella / Grosella
Fruites;Mango;Mango / Mango
Fruites;Papaya;Papaya / Papaya
Fruites;Avocado;Aguacate / Alvocat
Fruites;Pomegranate;Granada / Magrana
Fruites;Dragon fruit;Fruta dragón / Pitahaya
Expressions;Get to the point;Ve al grano / Ves al gra
Expressions;Cut to the chase;Ir directo / Anar directe
Expressions;Stop beating around the bush;No des rodeos / No donis voltes
Expressions;Get down to business;Ir por faena / Anar per feina
Expressions;The bottom line;La conclusión es / La conclusió és
Expressions;Let's stay on track;No nos desviemos / No ens desviem
Expressions;Cut the crap;Déjate de tonterías / Fora conyàries
Expressions;In a nutshell;En pocas palabras / En resum
Expressions;To make a long story short;En resumen / Per no allargar
Expressions;Straight away;De inmediato / De seguida
Relacions;Acquaintance;Conocido / Conegut
Relacions;Engagement;Compromiso / Compromís
Relacions;Wedding;Boda / Casament
Relacions;Pregnancy;Embarazo / Embaràs
Relacions;Honeymoon;Luna de miel / Lluna de mel
Relacions;Childbirth;Parto / Part
Relacions;Quarrel;Pelea / Baralla
Relacions;Adultery;Adulterio / Adulteri
Relacions;Divorce;Divorcio / Divorci
Relacions;Fling;Aventura / Aventura
Salut;Syringe;Jeringuilla / Xeringa
Salut;Patch;Tirita / Tirita
Salut;Bandage;Venda / Venda
Salut;Thermometer;Termómetro / Termòmetre
Salut;Pill;Pastilla / Píndola
Salut;Glucose meter;Glucómetro / Glucòmetre
Salut;Spray;Espray / Esprai
Salut;Eye drops;Colirio / Col·liri
Salut;Cough syrup;Jarabe tos / Jarop tos
Salut;Ointment;Pomada / Pomada
Pentinats;Curly;Rizado / Arrissat
Pentinats;Dreadlocks;Rastas / Rastes
Pentinats;Bob;Corte Bob / Tall Bob
Pentinats;Wavy;Ondulado / Ondulat
Pentinats;Pigtails;Coletas / Cues
Pentinats;Ponytail;Coleta única / Cua
Pentinats;Bun;Moño / Moixó
Pentinats;Braid;Trenza / Trena
Pentinats;Shoulder length;Media melena / Cabell espatlles
Pentinats;Bald;Calvo / Calb
Medi Ambient;Plant trees;Plantar árboles / Plantar arbres
Medi Ambient;Oil spill;Derrame petróleo / Vessament petroli
Medi Ambient;Landfill;Vertedero / Abocador
Medi Ambient;Separate garbage;Separar basura / Separar escombraria
Medi Ambient;Pollution;Contaminación / Contaminació
Medi Ambient;Reusable bag;Bolsa reutilizable / Bossa reutilitzable
Medi Ambient;Recycle;Reciclar / Reciclar
Medi Ambient;Exhaust fumes;Humo escape / Fums escapament
Medi Ambient;Solar panel;Panel solar / Panell solar
Medi Ambient;Wind turbine;Aerogenerador / Aerogenerador
Policia;Bulletproof vest;Chaleco antibalas / Armilla antibales
Policia;Warrant card;Placa policía / Placa policia
Policia;Handcuffs;Esposas / Esposes
Policia;Prison;Prisión / Presó
Policia;Bullhorn;Megáfono / Megàfon
Policia;Gun;Pistola / Pistola
Policia;Bullet;Bala / Bala
Policia;Walkie talkie;Walkie / Walkie
Policia;Magnifying glass;Lupa / Lupa
Policia;Police car;Coche policía / Cotxe policia
Preposicions;Around;Alrededor / Al voltant
Preposicions;Under;Debajo / Sota
Preposicions;Through;A través / A través
Preposicions;Behind;Detrás / Darrere
Preposicions;Among;Entre (varios) / Entre
Preposicions;Opposite;Enfrente / Davant per davant
Preposicions;Towards;Hacia / Cap a
Preposicions;Across;Cruzando / A través de
Preposicions;Into;Hacia dentro / Cap a dins
Preposicions;Between;Entre (dos) / Entre
Preposicions;Over;Por encima / Per sobre
Preposicions;In front of;Delante / Davant de
Preposicions;Next to;Al lado / Al costat
Preposicions;Above;Arriba / Per damunt
Preposicions;Below;Abajo / Per sota
Preposicions;Out of;Fuera de / Fora de
Preposicions;Up;Hacia arriba / Cap amunt
Preposicions;Down;Hacia abajo / Cap avall
Preposicions;Off;Fuera / Fora de
Preposicions;On;Encima (tocando) / Sobre
Insectes;Ant;Hormiga / Formiga
Insectes;Bee;Abeja / Abella
Insectes;Butterfly;Mariposa / Papallona
Insectes;Caterpillar;Oruga / Eruga
Insectes;Cockroach;Cucaracha / Cucaracha
Insectes;Dragonfly;Libélula / Espiadimonis
Insectes;Fly;Mosca / Mosca
Insectes;Grasshopper;Saltamontes / Saltamartí
Insectes;Ladybug;Mariquita / Marieta
Insectes;Mosquito;Mosquito / Mosquit
Mar;Crab;Cangrejo / Cranc
Mar;Lobster;Langosta / Llagosta
Mar;Shrimp;Gamba / Gamba
Mar;Mussels;Musclos / Musclos
Mar;Oyster;Ostra / Ostra
Mar;Squid;Calamar / Calamar
Mar;Octopus;Pop / Pop
Mar;Salmon;Salmón / Salmó
Mar;Tuna;Atún / Tonyina
Mar;Cod;Bacalao / Bacallà
Desastres;Earthquake;Terremoto / Terratrèmol
Desastres;Flood;Inundación / Inundació
Desastres;Tsunami;Tsunami / Tsunami
Desastres;Wildfire;Incendio / Incendi
Desastres;Drought;Sequía / Sequera
Desastres;Tornado;Tornado / Tornado
Desastres;Hurricane;Huracán / Huracà
Desastres;Volcanic eruption;Erupción / Erupció
Desastres;Avalanche;Alud / Allau
Desastres;Landslide;Desprendimiento / Despreniment
Cuina;Chop;Picar / Trinxar
Cuina;Peel;Pelar / Pelar
Cuina;Slice;Rodajas / Rodanxes
Cuina;Squeeze;Exprimir / Exprèmer
Cuina;Squish;Aixafar / Aixafar
Cuina;Grate;Rallar / Ratllar
Cuina;Simmer;Fuego lento / Fer xup-xup
Cuina;Season;Sazonar / Salpebrar
Cuina;Bake;Hornear / Forn
Cuina;Stir;Remover / Remenar
Adjectius;Barefoot;Descalç
Adjectius;Naked;Despullat
Adjectius;Homeless;Sense casa
Adjectius;Unemployed;Desempleat
Adjectius;Bald;calb
Sons Similars;Ear;Orella
Sons Similars;Fear;Por
Sons Similars;Bear;Os          
Sons Similars;Beard;Barba
Sons Similars;Pear;Pera
Sons Similars;Hear;Oír
Sons Similars;Heard;Oído
Sons Similars;Heart;Cor 
Verbs;Yawn;Badallar
Verbs;Gasp;Jadear
Verbs;Sigh;Suspirar
Verbs;Sniff;Oler
Verbs;Wink;Guiñar
Verbs;Groan;Gemir
Verbs;Blush;Sonrojarse
Verbs;Frown;Fruncir el ceño
Verbs;Nod;Asentir
Verbs;Shrug;Encogerse de hombros
Verbs per A;abandon;abandonar
Verbs per A;abbreviate;abreujar
Verbs per A;abduct;segrestar
Verbs per A;abet;encoratjar
Verbs per A;abhor;detestar
Verbs per A;abide;obeir
Verbs per A;abolish;abolir
Verbs per A;absorb;absorbir
Verbs per A;abstract;abstracte
Verbs per A;accelerate;accelerar
Verbs per A;accentuate;accentuar
Verbs per A;accept;acceptar
Verbs per A;accommodate;acollir
Verbs per A;accompany;acompanyar
Verbs per A;accomplish;aconseguir
Verbs per A;accord;acordar
Verbs per A;account;compte
Verbs per A;accumulate;acumular
Verbs per A;accuse;acusar
Verbs per A;achieve;aconseguir / assolir
Verbs per A;acknowledge;reconèixer
Verbs per A;acquire;adquirir
Verbs per A;acquit;absoldre
Verbs per A;activate;activar
Verbs per A;adapt;adaptar
Verbs per A;address;dirigir-se a / tractar (tema)
Verbs per A;adhere;adherir
Verbs per A;adjourn;ajornar
Verbs per A;adjust;ajustar  
Verbs per A;administer;administrar
Verbs per A;admire;admirar
Verbs per A;admit;admetre
Verbs per A;admonish;amonestar
Verbs per A;adopt;adoptar
Verbs per A;adore;adorar
Verbs per A;advance;avançar
Verbs per A;advise;aconsellar
Verbs per A;advocate;defensar
Verbs per A;affect;afectar
Verbs per A;affiliate;afiliar
Verbs per A;affirm;afirmar
Verbs per A;affix;afegir
Verbs per A;afflict;afligir
Verbs per A;afford;permetre’s (econòmicament)
Verbs per A;aggravate;agreujar
Verbs per A;aggregate;agregar
Verbs per A;agonize;agonitzar
Verbs per A;agree;estar d’acord
Verbs per A;aid;ajudar
Verbs per A;ail;patir
Verbs per A;aim;apuntar / objectiu
Verbs per A;air;airejar
Verbs per A;alarm;alarmar
Verbs per A;alert;alertar
Verbs per A;alienate;alienar
Verbs per A;align;alinear
Verbs per A;allege;al·legar
Verbs per A;alleviate;alleujar
Verbs per A;allocate;assignar
Verbs per A;allow;permetre
Verbs per A;allude;al·ludir
Verbs per A;ally;aliar-se
Verbs per A;alter;alterar / modificar
Verbs per A;alternate;alternar
Verbs per A;amalgamate;amalgamar
Verbs per A;amaze;sorprendre
Verbs per A;amble;caminar
Verbs per A;amend;esmenar
Verbs per A;amplify;amplificar
Verbs per A;amuse;divertir
Verbs per A;analyze;analitzar
Verbs per A;anchor;ancorar
Verbs per A;anger;enfadar
Verbs per A;angle;inclinar
Verbs per A;animate;animar
Verbs per A;announce;anunciar
Verbs per A;annoy;molestar / fer enfadar
Verbs per A;annul;anul·lar
Verbs per A;anoint;ungir
Verbs per A;answer;respondre / contestar
Verbs per A;anticipate;anticipar
Verbs per A;apologize;demanar perdó
Verbs per A;appeal;apel·lar / agradar
Verbs per A;appear;aparèixer/parecer
Verbs per A;appease;apaivagar
Verbs per A;applaud;aplaudir
Verbs per A;apply;sol·licitar / aplicar
Verbs per A;appoint;nomenar / designar
Verbs per A;appraise;avaluar
Verbs per A;appreciate;valorar / agrair
Verbs per A;approach;acostar-se / enfocar
Verbs per A;approve;aprovar
